City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
256,gamba,-2.65,10.0,25.4,90,84,0.71,GA,1681342598
257,caratinga,-19.7897,-42.1392,21.07,79,99,1.39,BR,1681342599
258,salvador,13.8333,-88.9167,27.02,57,32,2.85,SV,1681342374
259,cabedelo,-6.9811,-34.8339,26.37,84,46,5.5,BR,1681342600
260,margate,51.3813,1.3862,6.61,84,100,2.24,GB,1681342456
261,baghdad,33.3406,44.4009,13.95,88,74,2.06,IQ,1681342378
262,hofn,64.2539,-15.2082,3.18,85,46,5.05,IS,1681342600
263,itanagar,27.1,93.6167,20.05,59,11,2.34,IN,1681342600
264,xining,36.6167,101.7667,7.86,35,45,2.51,CN,1681342600
265,haradok,55.4624,29.9816,7.99,74,100,3.45,BY,1681342600
266,laguna,38.421,-121.4238,19.31,44,0,3.09,US,1681342601
267,machinga,-15.1685,35.3,17.99,97,99,1.04,MW,1681342601
268,kalmunai,7.4167,81.8167,25.37,88,82,1.0,LK,1681342601
269,parkes,-33.1333,148.1833,15.2,1,13,3.9,AU,1681342601
270,santa cruz,-17.8,-63.1667,27.03,78,40,5.66,BO,1681342601
271,new norfolk,-42.7826,147.0587,15.51,72,54,0.45,AU,1681342601
272,gabu,12.2833,-14.2167,27.74,54,100,3.69,GW,1681342602
273,port-gentil,-0.7193,8.7815,27.01,80,91,1.85,GA,1681342602
274,ferrol,43.4832,-8.2369,10.38,85,34,6.32,ES,1681342570
275,red wing,44.5625,-92.5338,32.05,19,0,5.66,US,1681342602
276,touros,-5.1989,-35.4608,25.47,89,92,6.36,BR,1681342426
277,coruripe,-10.1256,-36.1756,24.9,81,30,2.74,BR,1681342602
278,bilibino,68.0546,166.4372,-17.41,84,69,1.24,RU,1681342602
279,qui nhon,13.7667,109.2333,26.79,82,100,1.6,VN,1681342603
280,yulara,-25.2406,130.9889,26.42,41,100,1.35,AU,1681342603
281,buala,-8.145,159.5921,25.31,88,99,1.51,SB,1681342603
282,coquimbo,-29.9533,-71.3436,15.85,88,0,3.6,CL,1681342603
283,port blair,11.6667,92.75,26.13,80,34,1.43,IN,1681342603
284,matara,5.9485,80.5353,24.04,94,67,2.06,LK,1681342604
285,carmen,18.6333,-91.8333,27.02,65,75,4.12,MX,1681342330
286,fukue,32.6881,128.8419,15.2,67,0,4.12,JP,1681342604
287,sao filipe,14.8961,-24.4956,22.72,79,36,3.11,CV,1681342604
288,ossora,59.2353,163.0719,-10.3,64,11,0.62,RU,1681342604
289,banamba,13.55,-7.45,31.51,20,87,6.04,ML,1681342604
290,ahipara,-35.1667,173.1667,19.11,83,15,4.69,NZ,1681342604
291,la rioja,42.25,-2.5,3.88,98,100,1.65,ES,1681342605
292,kandi,11.1342,2.9386,31.2,36,71,2.89,BJ,1681342040
293,zhigalovo,54.8097,105.1578,-5.25,77,58,1.66,RU,1681342605
294,shubarkuduk,49.1447,56.4872,12.92,44,100,7.21,KZ,1681342605
295,tutoia,-2.7619,-42.2744,25.85,83,86,3.0,BR,1681342605
296,salalah,17.0151,54.0924,26.33,75,23,1.76,OM,1681342605
297,erice,38.037,12.5865,16.26,82,0,6.69,IT,1681342605
298,kapoeta,4.7717,33.5903,28.93,42,99,4.99,SS,1681342605
299,aukra,62.7925,6.919,8.99,65,0,3.6,NO,1681342605
300,ipiau,-14.1372,-39.7339,22.24,93,49,0.78,BR,1681342606
301,ngunguru,-35.6167,174.5,19.92,75,45,4.72,NZ,1681342606
302,altay,47.8667,88.1167,-6.2,61,14,4.25,CN,1681342606
303,college,64.8569,-147.8028,-2.82,83,100,7.2,US,1681342606
304,boa vista,2.8197,-60.6733,30.99,55,0,3.6,BR,1681342606
305,port hedland,-20.3167,118.5667,28.03,74,100,6.17,AU,1681342606
306,beira,-19.8436,34.8389,26.05,83,20,1.54,MZ,1681342606
307,palauig,15.435,119.9045,27.87,73,100,1.5,PH,1681342607
308,angoche,-16.2325,39.9086,22.04,98,73,1.85,MZ,1681342607
309,bethanien,-26.502,17.1583,16.16,23,23,1.94,NA,1681342607
310,nasice,45.4886,18.0878,8.19,74,97,2.27,HR,1681342607
311,dese,11.1333,39.6333,12.89,83,100,1.18,ET,1681342607
312,sharkan,57.2989,53.8712,3.51,77,0,2.61,RU,1681342607
313,cabo san lucas,22.8909,-109.9124,28.61,50,75,8.75,MX,1681342607
314,salinopolis,-0.6136,-47.3561,27.7,79,73,5.36,BR,1681342607
315,canaries,28.0,-15.5,17.44,68,20,10.29,ES,1681342608
316,brownsville,25.9018,-97.4975,25.05,62,0,5.66,US,1681342549
317,boyuibe,-20.4167,-63.2833,23.18,76,93,0.9,BO,1681342608
318,goalpara,26.1667,90.6167,22.21,30,0,1.47,IN,1681342608
319,nokaneng,-19.6667,22.2667,19.95,36,0,2.64,BW,1681342608
320,port hawkesbury,45.6169,-61.3485,2.77,97,100,7.6,CA,1681342608
321,le port,-20.9373,55.2919,24.38,91,2,1.95,RE,1681342608
322,bubaque,11.2833,-15.8333,24.83,75,83,6.54,GW,1681342608
323,itoman,26.1247,127.6694,23.43,78,75,5.66,JP,1681342609
324,yar-sale,66.8333,70.8333,-21.16,94,45,6.72,RU,1681342609
325,hovd,48.0056,91.6419,-5.61,70,30,1.74,MN,1681342609
326,carahue,-38.7,-73.1667,14.88,84,99,0.6,CL,1681342609
327,beloha,-25.1667,45.05,20.38,95,4,2.06,MG,1681342610
328,henties bay,-22.116,14.2845,14.68,87,0,1.67,NA,1681342610
329,khatanga,71.9667,102.5,-15.73,69,47,10.41,RU,1681342610
330,nouadhibou,20.931,-17.0347,18.99,94,40,2.57,MR,1681342374
331,brokopondo,4.75,-55.1667,24.66,89,57,2.34,SR,1681342611
332,itarema,-2.9248,-39.9167,28.48,71,94,7.33,BR,1681342611
